Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.8052594171997157,0.6515151515151515,0.5748663101604278,0.6107954545454546
Feature-Selected Logistic Regression,0.8009950248756219,0.646875,0.553475935828877,0.5965417867435159
Tuned Decision Tree,0.7782515991471215,0.5807291666666666,0.5962566844919787,0.5883905013192612
Tuned Random Forest,0.7903340440653873,0.6321070234113713,0.5053475935828877,0.5616641901931649
Random Forest,0.7867803837953091,0.6225165562913907,0.5026737967914439,0.5562130177514792
Decision Tree,0.7164179104477612,0.46612466124661245,0.45989304812834225,0.4629878869448183
