False_Positive_Rate,True_Positive_Rate,Threshold
0.0,0.0,inf
0.0,0.00267379679144385,0.8539980067607296
0.0,0.008021390374331552,0.8286697658641088
0.001932367149758454,0.008021390374331552,0.8238556266502054
0.001932367149758454,0.0106951871657754,0.8184474872905954
0.002898550724637681,0.0106951871657754,0.8178075238356507
0.002898550724637681,0.03208556149732621,0.7942459359021657
0.003864734299516908,0.03208556149732621,0.7895917837889422
0.003864734299516908,0.034759358288770054,0.7870512369375966
0.005797101449275362,0.034759358288770054,0.7862913054849835
0.005797101449275362,0.0427807486631016,0.7751775501106385
0.00676328502415459,0.0427807486631016,0.774498689079404
0.00676328502415459,0.05080213903743316,0.7715852178747304
0.007729468599033816,0.05080213903743316,0.7714781364547576
0.007729468599033816,0.06684491978609626,0.7565682676975096
0.008695652173913044,0.06684491978609626,0.7559822994740285
0.008695652173913044,0.06951871657754011,0.7532385799716551
0.00966183574879227,0.06951871657754011,0.7514739038706437
0.00966183574879227,0.07219251336898395,0.7502277693814378
0.010628019323671498,0.07219251336898395,0.7477249234261253
0.010628019323671498,0.07754010695187166,0.745763512155388
0.011594202898550725,0.07754010695187166,0.7457154727120475
0.011594202898550725,0.10427807486631016,0.7352484356604513
0.012560386473429951,0.10427807486631016,0.7337324175164059
0.012560386473429951,0.10695187165775401,0.7334739825422099
0.014492753623188406,0.10695187165775401,0.7330514780185141
0.014492753623188406,0.12566844919786097,0.730712316715416
0.015458937198067632,0.12566844919786097,0.7303707234879084
0.015458937198067632,0.1497326203208556,0.7229209773821046
0.01642512077294686,0.1497326203208556,0.7224445445821349
0.01642512077294686,0.15240641711229946,0.7194590300476384
0.017391304347826087,0.15240641711229946,0.7176730181513205
0.017391304347826087,0.15508021390374332,0.7164085171999998
0.018357487922705314,0.15508021390374332,0.7152633688817428
0.018357487922705314,0.16844919786096257,0.7112667909247219
0.01932367149758454,0.1711229946524064,0.7086965577934383
0.020289855072463767,0.1711229946524064,0.7076167698695642
0.020289855072463767,0.17379679144385027,0.7051800589802325
0.021256038647342997,0.17379679144385027,0.7043615000336194
0.021256038647342997,0.17914438502673796,0.7021823130053861
0.022222222222222223,0.17914438502673796,0.7010767344740181
0.022222222222222223,0.18181818181818182,0.7003692395724811
0.02318840579710145,0.18181818181818182,0.6991070717901847
0.02318840579710145,0.18983957219251338,0.6977096983406312
0.024154589371980676,0.18983957219251338,0.6960321680111456
0.024154589371980676,0.21122994652406418,0.6929739536170182
0.025120772946859903,0.21122994652406418,0.691673076816673
0.025120772946859903,0.21390374331550802,0.6915883000965938
0.02705314009661836,0.21390374331550802,0.691032351695523
0.02705314009661836,0.21657754010695188,0.6907136757730861
0.028985507246376812,0.21657754010695188,0.6897138903627918
