Model,CV_Best_F1,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC_AUC,Best_Parameters
Logistic Regression,0.596454909838984,0.8002842928216063,0.6396396396396397,0.56951871657754,0.6025459688826026,0.8350878237416589,{'model__C': 10}
Random Forest,0.5839337518864054,0.7917555081734187,0.6336633663366337,0.5133689839572193,0.5672082717872969,0.8316271593562179,"{'model__max_depth': 10, 'model__min_samples_split': 5}"
Decision Tree,0.5739815185794047,0.7896233120113717,0.6020942408376964,0.6149732620320856,0.6084656084656085,0.8296250472379394,"{'model__max_depth': 5, 'model__min_samples_split': 2}"
